RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
1,1,1215,2,12,1,1,1,21,1437,49,1,1,8:34 AM,9:25 AM,1,8,,,,,2,10,,,,,,2,1,2,2,6,2,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,3,3,3,4,4,,,,5,1,,,2,2,2,2,2,,,,5,3,3,3,2,,,,1,SAN FRANCISCO,94131,US,1,2,1,1,2,2,1,1,0.553675
2,2,1215,2,12,1,1,1,21,1437,49,1,1,8:00 AM,9:25 AM,1,8,,,,,2,10,,,,,,2,2,2,2,6,4,1,4,4,4,4,4,3,3,3,6,4,6,6,6,6,4,,,,4,6,6,4,4,4,,,,5,1,,,2,2,2,2,3,,,,2,3,5,5,2,,,,1,CONCORD,94521,US,5,6,1,0,3,2,1,1,0.553675
3,3,1215,2,12,1,1,1,21,1437,49,1,1,7:00 AM,9:25 AM,1,8,,,,,2,10,,,,,,2,2,2,2,4,4,1,3,4,4,2,4,4,2,2,3,2,3,4,6,4,0,,,,3,3,3,3,3,3,,,,3,1,,,2,2,2,2,2,,,,5,3,3,3,2,,,,1,SAN FRANCISCO,94134,US,1,4,2,2,3,2,2,1,0.553675
4,4,1215,2,12,1,1,1,21,1437,49,1,1,7:30 AM,9:25 AM,1,8,,,,,1,10,,,,,1,1,2,1,2,3,4,2,3,3,3,4,4,4,4,4,4,5,4,4,4,3,4,,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,2,,,,5,3,5,5,2,,,,1,,,US,90,4,1,2,2,2,2,1,0.553675
5,5,1215,2,12,1,1,1,21,1437,49,1,1,6:30 AM,9:25 AM,1,8,,,,,8,10,,,,,,2,1,1,1,2,3,2,3,3,2,3,5,5,6,6,5,5,6,5,6,4,4,162,,,5,5,5,5,5,5,87,,,5,5,,,2,2,2,2,1,1,5,,3,5,4,3,2,,,,3,HUNTINGTON BEACH,92646,US,10,3,1,3,1,0,1,1,0.553675
6,6,1215,2,12,1,1,1,21,1437,49,1,1,8:00 AM,9:25 AM,2,8,,,,,2,10,,,,,,1,2,2,2,3,4,2,4,3,2,3,3,3,6,6,1,2,3,4,3,6,4,200,,,3,3,6,3,3,3,,,,5,5,,,2,2,2,2,2,1,,,5,3,5,4,2,,,,1,SAN FRANCISCO,94118,US,1,5,1,4,2,1,1,1,0.553675
7,32,1204,2,43,1,1,1,18,144,25,1,4,8:25 AM,10:35 AM,6,8,,,,,1,10,,,,,4,1,2,1,2,1,3,1,3,3,6,5,5,5,6,6,6,5,5,6,6,6,4,,,,5,6,6,5,5,5,,,,4,16,,,2,2,2,2,2,,,,2,3,5,5,2,,,,1,RODEO,94572,US,5,9,1,1,2,2,1,1,1.266708
8,33,1204,2,43,1,1,1,18,144,25,1,4,9:25 AM,10:35 AM,2,8,,,,,2,10,,,,,,1,2,2,2,3,4,1,5,4,5,4,5,5,4,4,5,5,5,5,5,6,5,71,240,,5,5,6,5,5,5,91,,,5,1,,,2,2,2,2,1,,,,6,5,5,5,2,,,,1,SAN BRUNO,94066,US,2,5,2,5,3,2,2,1,1.266708
9,34,1204,2,43,1,1,1,18,144,25,1,4,8:30 AM,10:35 AM,6,8,,,,,1,10,,,,,4,1,2,1,1,1,4,1,5,5,4,5,5,5,6,6,5,5,4,6,6,6,4,,,,5,6,6,5,5,5,,,,4,8,,,1,2,2,2,1,,,,1,4,5,5,2,,,,1,NEWARK,94560,US,3,5,1,5,2,2,1,1,1.266708
10,35,1204,2,43,1,1,1,18,144,25,1,4,9:30 AM,10:35 AM,1,8,,,,,2,10,,,,,,1,0,0,0,2,4,2,3,3,3,3,3,5,5,5,5,3,3,3,3,3,4,,,,4,4,4,4,4,4,,,,3,16,,,2,2,2,1,1,,,,8,4,5,5,2,,,,1,VALLEJO,94589,US,8,3,2,2,3,0,1,1,1.266708
